"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"RELIANCE","EQ","24-Jul-2024","2,975.80","2,970.00","3,019.00","2,952.80","2,988.00","2,991.40","2,987.68","59,56,681","17,79,66,51,407.60","2,32,120","27,33,402","45.89"
"RELIANCE","EQ","25-Jul-2024","2,991.40","2,962.00","3,000.95","2,954.15","2,988.35","2,984.80","2,980.72","62,59,938","18,65,91,22,151.40","2,21,753","37,29,490","59.58"
"RELIANCE","EQ","26-Jul-2024","2,984.80","2,984.80","3,024.85","2,980.70","3,018.60","3,018.05","3,012.08","49,29,970","14,84,94,80,970.80","1,80,757","23,96,373","48.61"
"RELIANCE","EQ","29-Jul-2024","3,018.05","3,023.90","3,055.00","3,023.55","3,038.25","3,040.20","3,038.43","37,69,275","11,45,26,61,155.40","1,70,155","22,06,938","58.55"
"RELIANCE","EQ","30-Jul-2024","3,040.20","3,034.05","3,050.00","3,020.00","3,023.00","3,026.30","3,033.38","41,14,104","12,47,96,37,390.30","1,84,296","24,14,027","58.68"
"RELIANCE","EQ","31-Jul-2024","3,026.30","3,008.00","3,020.90","3,002.30","3,009.00","3,010.85","3,010.83","50,28,673","15,14,04,71,169.85","2,01,961","32,24,303","64.12"
"RELIANCE","EQ","01-Aug-2024","3,010.85","3,024.00","3,036.00","3,008.60","3,035.90","3,030.60","3,025.50","53,82,111","16,28,35,66,572.30","2,19,081","36,47,873","67.78"
"RELIANCE","EQ","02-Aug-2024","3,030.60","3,010.00","3,018.65","2,986.55","2,992.00","2,998.65","3,001.82","51,34,124","15,41,16,92,078.15","1,76,635","31,86,337","62.06"
"RELIANCE","EQ","05-Aug-2024","2,998.65","2,960.00","2,967.80","2,866.50","2,896.00","2,894.65","2,901.81","85,23,352","24,73,31,28,212.00","4,48,630","55,50,149","65.12"
"RELIANCE","EQ","06-Aug-2024","2,894.65","2,910.30","2,955.00","2,902.65","2,915.55","2,912.10","2,929.53","51,18,093","14,99,35,89,440.05","1,97,549","26,51,919","51.81"
"RELIANCE","EQ","07-Aug-2024","2,912.10","2,938.00","2,945.00","2,923.00","2,930.00","2,929.65","2,930.89","40,87,284","11,97,93,63,870.55","2,76,362","25,97,947","63.56"
"RELIANCE","EQ","08-Aug-2024","2,929.65","2,915.05","2,930.00","2,891.85","2,896.45","2,898.25","2,905.69","61,93,596","17,99,66,62,105.65","2,55,138","37,34,582","60.30"
"RELIANCE","EQ","09-Aug-2024","2,898.25","2,920.00","2,953.00","2,912.00","2,946.10","2,948.60","2,939.20","31,24,888","9,18,46,80,574.05","1,50,169","14,06,089","45.00"
"RELIANCE","EQ","12-Aug-2024","2,948.60","2,940.00","2,946.00","2,915.50","2,923.00","2,921.25","2,929.82","40,92,292","11,98,96,80,025.65","1,88,301","26,40,196","64.52"
"RELIANCE","EQ","13-Aug-2024","2,921.25","2,921.50","2,940.15","2,916.00","2,925.00","2,927.25","2,928.29","31,32,532","9,17,29,71,802.70","1,34,517","17,57,602","56.11"
"RELIANCE","EQ","14-Aug-2024","2,927.25","2,927.10","2,944.00","2,907.40","2,920.10","2,923.70","2,925.78","31,33,733","9,16,86,16,380.80","1,85,733","17,48,077","55.78"
